No.,Time,Source,Destination,Protocol,Length,Info
1622,54.270858,IntelCor_b5:9b:4a,Broadcast,ARP,60,Who has 172.18.237.117? Tell 172.18.234.140
1623,54.270858,LiteonTe_c4:3e:57,Broadcast,ARP,60,Who has 172.18.232.32? Tell 172.18.236.124
1624,54.270858,IntelCor_05:dc:14,Broadcast,ARP,60,Who has 172.18.232.1? Tell 172.18.239.150
1625,54.270858,IntelCor_5a:56:e5,Broadcast,ARP,60,Who has 172.18.232.114? Tell 172.18.232.188
1626,54.270858,LiteonTe_c4:3e:57,Broadcast,ARP,60,Who has 172.18.236.180? Tell 172.18.236.124
1627,54.270858,IntelCor_05:dc:14,Broadcast,ARP,60,Who has 172.18.239.150? (ARP Probe)
1628,54.270858,172.18.234.6,172.18.239.255,UDP,180,34792  >  58581 Len=138
1629,54.270858,Tecnomen_65:b7:9e,Broadcast,ARP,60,Who has 172.18.236.64? Tell 172.18.232.10
1630,54.270858,LiteonTe_b0:ec:7d,Broadcast,ARP,60,Who has 172.18.239.54? Tell 172.18.238.140
1631,54.474658,Tecnomen_65:b7:9e,Broadcast,ARP,60,Who has 172.18.236.134? Tell 172.18.232.10
